CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TenureDays,Churned,ChurnProbability
12346,235,1,77183.6,77183.6,1,235,1,0.7893396019058134
12347,39,5,2790.86,558.172,82,276,0,0.11126211331333469
12348,158,3,1487.24,495.74666666666667,22,267,0,0.44543824791647696
12350,219,1,334.4,334.40000000000003,17,219,1,0.7429073683922625
12352,171,5,1561.81,312.3620000000001,26,206,0,0.3274659003031006
12353,113,1,89.0,89.0,4,113,1,0.7113468266055437
12354,141,1,1079.4,1079.3999999999999,58,141,1,0.6104777113348132
12355,123,1,459.4,459.4,13,123,1,0.6749879657857923
12356,155,2,2753.08,1376.54,53,235,0,0.4465660171794707
12358,60,1,484.86,484.85999999999996,12,60,0,0.6144405415108725
12359,99,3,3495.73,1165.2433333333333,134,241,0,0.29375311092163126
12360,22,2,1618.28,809.1400000000001,63,110,0,0.39970708682019174
12361,196,1,189.9,189.89999999999998,10,196,1,0.7473027563637303
12362,29,4,1747.35,436.8375,89,205,0,0.2507176213561829
12363,19,2,552.0,276.0,23,151,1,0.5217691982787995
12364,21,1,623.92,623.92,34,21,0,0.5837045647540328
12365,200,2,641.38,320.68999999999994,22,200,1,0.6802941351204307
12370,184,3,2802.66,934.2199999999999,125,269,0,0.38551166794187325
12372,122,2,914.9200000000001,457.4599999999999,32,206,0,0.5341635892925365
12373,220,1,364.6,364.6,14,220,1,0.7482086247012635
12375,7,1,230.3,230.3,11,7,0,0.5413676627278217
12377,224,2,1628.12,814.06,72,264,1,0.49149721198803725
12378,39,1,4008.62,4008.62,219,39,1,0.5083198870907145
12379,79,1,459.84,459.84,20,79,0,0.6086747181077586
12380,95,1,607.5500000000001,607.55,36,95,0,0.5786969013016836
12381,29,1,1268.74,1268.74,62,29,0,0.4683681836511808
12383,94,5,1850.56,370.112,84,261,1,0.19162630185956636
12384,31,1,292.69,292.69,14,31,0,0.5535640597843874
12386,247,2,401.9,200.95,10,276,1,0.7261339008274266
12388,57,4,1668.3400000000001,417.08500000000004,50,236,0,0.3064811560163102
12393,155,3,1061.1000000000001,353.70000000000005,35,242,0,0.3869549832094424
12394,126,1,381.08,381.08,21,126,0,0.6391886738852512
12395,21,8,1899.57,237.44625000000002,65,280,0,0.07699355453859046
12397,44,1,1214.81,1214.8099999999997,69,44,0,0.49742689052913897
12399,28,4,1108.65,277.1625,47,171,1,0.257247833242744
12401,212,1,84.3,84.3,5,212,1,0.783922011049314
12402,232,1,225.6,225.6,11,232,1,0.7433131912070807
12405,58,1,1710.39,1710.3900000000003,54,58,1,0.5309021573905869
12406,93,1,1621.25,1621.25,47,93,0,0.5194834752553152
12407,43,4,1407.3600000000001,351.84,50,173,0,0.2343400354673572
12408,8,4,2134.0499999999997,533.5124999999999,67,169,0,0.2569073024245817
12409,92,1,6207.08,6207.08,64,92,0,0.4829929615807606
12410,218,2,693.3299999999999,346.66499999999996,26,218,1,0.6699619512781665
12412,47,2,890.74,445.36999999999995,35,78,0,0.4765801001741257
12413,145,2,563.9,281.95,25,246,0,0.6632278335986591
12414,126,3,562.41,187.47,16,219,1,0.550889305592257
12415,8,15,102087.88,6805.858666666667,387,247,0,0.054248108762428936
12417,16,7,2816.52,402.36,133,267,0,0.06812390347733087
12418,22,1,668.58,668.58,34,22,1,0.5801792034212407
12421,24,3,628.56,209.51999999999998,25,228,0,0.4781364910934417
12422,5,3,803.5600000000001,267.8533333333333,39,234,1,0.3438862604387369
12423,10,7,1650.67,235.81,86,263,0,0.08366594831132573
12424,72,2,1760.96,880.4799999999998,30,72,1,0.5461392661296152
12426,104,1,582.73,582.73,30,104,1,0.6157901174578897
12427,281,1,303.5,303.5,10,281,0,0.719742926244589
12428,29,8,7548.12,943.5150000000001,253,193,0,0.07586278226289696
12429,82,3,2844.88,948.2933333333334,62,275,0,0.2841016314816885
12431,28,11,4807.07,437.00636363636363,134,283,0,0.04948486196555209
12432,79,3,4016.66,1338.8866666666668,75,81,0,0.38311846310146613
12433,0,3,6395.23,2131.7433333333333,152,282,0,0.2637270969400203
12434,169,1,286.25,286.25,16,169,0,0.7053144005740432
12435,177,1,3978.9900000000002,3978.9900000000002,19,177,0,0.6127737965915787
12436,9,1,509.01,509.01000000000005,16,9,1,0.5395436699615594
12437,7,11,2811.41,255.58272727272725,63,240,0,0.06449929395560199
12438,49,1,890.0699999999999,890.0699999999999,49,49,0,0.5231830057708299
12441,276,1,173.55,173.55,11,276,1,0.7249221391824987
12444,31,2,2627.27,1313.6349999999998,96,80,0,0.3508483130588488
12447,152,1,476.49,476.49,26,152,1,0.7550365307074358
12449,1,3,2724.58,908.1933333333333,85,96,0,0.29035139181818836
12450,65,2,197.88,98.94,7,82,1,0.6726191027369469
12451,127,2,5307.82,2653.9100000000003,162,234,0,0.3651558743468083
12453,43,1,707.09,707.0899999999999,43,43,1,0.5489622771555186
12455,37,5,2176.36,435.27200000000005,67,206,0,0.12903174072177995
12456,40,2,2265.4,1132.7,77,164,0,0.3463466213206726
12457,143,3,1067.25,355.75,23,148,0,0.4072316368389092
12458,194,1,441.92,441.92,19,194,0,0.730936077567182
12461,3,2,826.88,413.44,35,64,1,0.5018606125518975
12462,212,1,762.11,762.11,40,212,0,0.6444194444153433
12463,84,3,985.79,328.5966666666667,51,151,0,0.3320075977525221
12464,15,6,780.55,130.09166666666667,6,218,0,0.4521294236651465
12465,78,1,440.94,440.93999999999994,26,78,0,0.5994951044004769
12468,97,2,729.5400000000001,364.77,36,225,1,0.4710245703119201
12471,16,19,11081.0,583.2105263157895,110,274,0,0.04359266325491595
12472,48,5,4927.6,985.5200000000001,181,278,0,0.09705888701376826
12473,24,2,1175.75,587.875,60,101,0,0.41038924259828596
12474,8,13,4362.06,335.5430769230769,154,239,0,0.03938350030115665
12476,50,6,3191.67,531.945,91,270,0,0.10976883012846335
12477,10,3,8834.03,2944.6766666666663,157,211,0,0.2827040056342677
12480,52,3,2144.95,714.9833333333335,97,245,0,0.267167675457244
12481,89,8,4085.2599999999998,510.6575,112,275,0,0.16172341776652185
12483,8,6,1624.06,270.6766666666667,38,248,0,0.14883323313254382
12484,10,4,3658.65,914.6624999999999,223,245,0,0.22519085985546827
12489,245,1,334.93,334.92999999999995,15,245,1,0.7331954924642163
12490,2,6,3552.59,592.0983333333334,103,239,0,0.1020820542027698
12492,14,1,126.39000000000001,126.39000000000001,9,14,0,0.5892867203673215
12493,75,2,433.74,216.87,20,106,1,0.5743745035677786
12494,71,5,868.86,173.772,44,275,0,0.2730930717960114
12500,16,6,1773.8400000000001,295.64000000000004,20,243,0,0.16416343023883592
12501,246,1,2169.39,2169.3900000000003,149,246,1,0.5885038812737435
12502,5,5,3723.87,744.774,102,219,1,0.12533072745718551
12506,142,1,73.5,73.50000000000001,23,142,1,0.7537509104794308
12507,43,3,1304.81,434.93666666666667,19,208,1,0.4354793711289788
12509,193,1,176.5,176.5,7,193,1,0.7585304119275394
12510,52,2,982.5699999999999,491.28499999999997,29,234,1,0.5314062808214584
12513,22,1,612.29,612.2900000000001,35,22,1,0.5891793531858808
12514,176,1,1017.68,1017.6800000000001,51,176,1,0.6636767938033802
12515,262,1,383.7,383.70000000000005,16,262,1,0.7304401199434998
12516,90,1,583.2,583.2,13,90,0,0.6244239240191284
12517,35,2,1521.45,760.725,173,99,0,0.3757985301509932
12518,19,1,324.83,324.83,18,19,0,0.5515309461101565
12520,51,4,2045.85,511.4625000000001,104,183,0,0.23854676201387942
12521,52,1,599.68,599.68,38,52,1,0.577677186124199
12523,17,7,1017.75,145.39285714285714,50,241,0,0.16307538532735447
12524,71,6,3122.48,520.4133333333334,93,243,0,0.17268992350707987
12526,3,1,520.3,520.3,29,3,0,0.5061334913685881
12527,204,2,284.92,142.46,15,235,0,0.6951529623032839
12528,24,4,1287.37,321.84250000000003,46,222,0,0.25573637428621265
12530,33,3,1221.65,407.21666666666664,39,246,0,0.3687060499816526
12534,40,1,1089.18,1089.18,63,40,1,0.48375198610534303
12535,1,2,716.35,358.175,28,96,1,0.544735387685873
12539,171,3,4517.69,1505.8966666666668,125,243,0,0.3845191829740726
12540,1,11,9246.86,840.6236363636364,207,271,0,0.03974498816863664
12541,82,2,536.14,268.07,27,190,0,0.5605134706613257
12545,169,1,628.15,628.1500000000001,34,169,0,0.6597477754804156
12547,107,2,207.79999999999998,103.9,7,190,1,0.7384817127652794
12548,75,1,95.19999999999999,95.19999999999999,5,75,1,0.7102593115023527
12551,267,1,168.0,168.0,10,267,1,0.7436577725686883
12553,19,7,2419.59,345.6557142857143,83,239,0,0.061833143171321624
12556,60,1,308.75,308.74999999999994,60,60,0,0.5292342908697437
12557,67,4,9000.960000000001,2250.24,20,281,0,0.24985434041431703
12559,220,2,561.71,280.85499999999996,21,229,1,0.7101230441456333
12560,21,2,1436.31,718.1550000000001,77,52,0,0.4162406686796136
12561,212,1,238.85,238.85,16,212,1,0.717253246435778
12562,36,3,1605.23,535.0766666666667,53,108,0,0.348345314156569
12564,170,1,456.9,456.90000000000003,21,170,1,0.7277050568027004
12565,198,1,145.92,145.92000000000002,9,198,1,0.7532179622409251
12567,5,9,7849.98,872.2199999999999,271,279,0,0.04373711226181824
12569,1,15,2167.68,144.51200000000003,48,161,0,0.106582919046192
12571,31,1,248.35,248.35,14,31,0,0.5608745311173576
12573,136,1,160.54000000000002,160.54,26,136,1,0.7291167261561062
12574,225,1,218.45,218.45000000000002,11,225,1,0.740246762723528
12576,5,4,936.55,234.13750000000002,53,214,0,0.26798603187066616
12577,268,1,195.89,195.89,67,268,0,0.6601281480301836
12578,239,1,1608.66,1608.6600000000003,70,239,0,0.5847176645634149
12580,156,1,415.7,415.70000000000005,24,156,1,0.7593504823454452
12582,148,2,511.36,255.67999999999995,21,198,1,0.6795071486584925
12583,16,9,4232.21,470.24555555555554,84,283,0,0.056599134994943935
12584,36,4,782.59,195.64749999999998,27,189,0,0.3115152297828042
12585,143,2,2040.1,1020.0499999999998,77,260,1,0.43891518080830705
12589,54,1,131.5,131.5,10,54,0,0.6039599651394352
12590,120,2,9864.26,4932.13,68,120,1,0.4774345633015132
12591,226,1,452.84999999999997,452.84999999999997,26,226,1,0.7457534728066966
12592,1,2,437.6,218.8,11,122,1,0.5654205466046925
12593,18,3,418.09999999999997,139.36666666666665,14,128,1,0.558842031950435
12594,30,8,2529.9,316.2375,46,232,0,0.07656395072705094
12596,151,1,269.95,269.95,15,151,0,0.7259798202957924
12597,92,2,1428.81,714.405,72,177,0,0.43547403929293993
12598,71,4,1584.3799999999999,396.0949999999999,45,194,0,0.3031786927970231
12599,36,6,857.04,142.84,25,213,0,0.32916077964796886
12600,22,8,1936.5600000000002,242.07000000000002,26,280,0,0.08121644738563726
12601,99,5,577.0600000000001,115.412,21,242,1,0.6321350465626103
12604,171,1,178.5,178.5,10,171,0,0.7504188785579768
12609,95,2,800.73,400.36499999999995,42,227,0,0.42440977289447185
12610,15,2,1256.25,628.125,68,35,0,0.4074815205136037
12613,107,4,1462.52,365.62999999999994,65,171,0,0.28819503508107247
12614,187,1,315.6,315.59999999999997,20,187,1,0.7430447219739807
12615,77,1,634.74,634.74,31,77,0,0.5871088897738224
12616,4,2,713.3,356.65,25,206,1,0.5738645668556965
12619,25,5,2087.46,417.492,28,162,0,0.1650314358784605
12620,114,1,561.66,561.66,33,114,0,0.5889765180343889
12621,9,15,10195.04,679.6693333333334,210,275,0,0.0364033774475228
12622,141,1,180.1,180.09999999999997,11,141,1,0.7654136825627883
12623,185,1,305.1,305.1,18,185,1,0.7228602895693365
12624,15,2,641.13,320.565,36,87,1,0.4796188353261297
12625,121,2,2683.82,1341.91,74,228,1,0.40472210286650584
12626,22,6,4774.0,795.6666666666666,171,236,0,0.08624636813338826
12627,5,5,2727.83,545.566,112,49,0,0.14709229167803958
12633,39,3,1948.75,649.5833333333334,66,197,0,0.2898808554519206
12635,64,1,683.64,683.6400000000001,40,64,0,0.5495976176536608
12637,1,7,5658.9,808.4142857142857,177,233,0,0.056499104249676385
12639,148,1,486.1,486.1,22,148,1,0.7556076862942429
12641,24,1,185.9,185.9,10,24,1,0.6409898316744189
12642,17,1,366.45,366.45,24,17,0,0.5496321642472817
12643,37,6,3344.64,557.4399999999999,11,242,1,0.3248285786410319
12644,39,1,477.91,477.90999999999997,31,39,1,0.5829916396616064
12645,19,3,1310.8600000000001,436.95333333333343,52,225,0,0.37750370366914454
12647,35,9,2886.71,320.74555555555554,64,278,0,0.07084171339317119
12648,64,1,318.05,318.04999999999995,21,64,1,0.5933676756167515
12649,16,3,623.51,207.83666666666667,28,121,1,0.44394837068226
12651,244,1,114.0,114.0,9,244,1,0.7608493351838412
12652,240,1,919.98,919.98,48,240,1,0.6805225331100998
12653,58,2,2209.85,1104.925,37,206,1,0.46154138942766015
12654,107,3,337.75,112.58333333333333,19,204,0,0.6354394463155618
12656,25,3,2820.67,940.2233333333334,51,143,0,0.31700292836161953
12662,16,7,2653.66,379.0942857142857,96,282,0,0.0606570458284728
12664,53,3,1957.48,652.4933333333332,13,232,0,0.33733658173466724
12665,234,1,63.0,63.0,3,234,1,0.7957531250992931
12668,168,3,2924.4700000000003,974.8233333333336,103,265,0,0.3605864337661209
12669,60,3,2744.0299999999997,914.6766666666667,97,166,1,0.3205974119951518
12670,8,3,1634.47,544.8233333333334,40,142,0,0.3949791314601238
12672,239,1,225.89999999999998,225.9,10,239,1,0.751469686903677
12673,236,1,220.9,220.9,23,236,0,0.7140525372045157
12674,1,3,1402.0,467.3333333333333,42,117,0,0.37193100497310666
